tweet,probability,Classification,True_class
constitutionday revered conservatives hated progressives socialist democrats want change ,0.7451506329012849,NOT,NOT
foxnews nra maga potus trump ndamendment rnc usmc veterans fakereporting theswamp dnc liberals fakeoutrage first reduces ca,0.7089494677950532,NOT,NOT
watching boomer getting news still parole always makes smile wentworth finale treasure,0.7709973882888672,NOT,OFF
nopasaran unity demo oppose far right london antifa oct enough enough,0.7262752877991369,NOT,OFF
 fuck time,0.5642801667876052,NOT,NOT
rap form art used express freely gv green light excuse behavior acting like animal streets bx violence way living elevate boo get level longevity queen,0.6342916940162407,NOT,OFF
 get feeling kissing behind humiliate later,0.5640986700854222,NOT,NOT
tips enhance audience connection facebook socialmedia smm,0.7875570719891279,NOT,NOT
biggbosstamil janani task going first final list,0.7988648044398873,NOT,NOT
conservatives party low taxation tories tory,0.7988648044398873,NOT,NOT
 nord cannot make single move fully aware happening chill comes spine ghostly rather calm female voice called corner room even time attempt response,0.7765170446125559,NOT,NOT
constoo place fed conservatives,0.7988648044398873,NOT,NOT
greatawakening qanon patriotsunited wwgwga areyouawake awake see clearly check video,0.7988648044398873,NOT,OFF
nigga ware da hits ,0.5687078091921884,NOT,OFF
stopkavanaugh liar like rest gop,0.6172118163230125,NOT,NOT
dayspromo week september th days dool coma things gal sami going ok hattie thanks get finishes hattie pretends marlena look kayla face priceless,0.7645017827152635,NOT,NOT
biggbosstelugu lets include tweets business head star maa network dont know knows biggboss team host hurting audience emotions biggbosstelugu,0.6226181412462454,NOT,NOT
dallas policewoman kills neighbor apartment went wrong see officer shot man apartment involved shooting suspect devastated said dallas police officer adds sorry family,0.5604549268458414,NOT,NOT
always smack,0.7988648044398873,NOT,NOT
breaking week long trial linn county jury convicted gregory davis first degree murder connection carrie davis homicide took place almost year ago,0.7905985831519692,NOT,NOT
kavanaugh wild claim years ago groping evolved rape violent sexual event move soros based org supports blm antifa etc unbeievable,0.5550946010751978,NOT,NOT
kznlt enjouji really prototype character brand nothing things love rolled one horrible package fed directly baby subconscious,0.6993893110481392,NOT,NOT
silsilabadallterishtonka tag filled appreciation never watched serial always wanted appreciation aditi underrated since starting show worth appreciation,0.5944900390437449,NOT,NOT
beto betoforsenate betoorourke betofortx willie nelson laughs conservatives upset ,0.6781476892387901,NOT,NOT
hiac damn matt hardy randy orton put one hell cell match woooo hope okay,0.675571276733574,NOT,NOT
school shootings controversial wanting gun control ,0.557214592056507,NOT,OFF
put delauro police lineup identifying bag lady would picked everytime proof either conn voters incompetent vote part vast voter fraud conspiracy one votes woman gross,0.7038222500945432,NOT,NOT
coffee spit spartacus moment never saw film,0.6890912042193087,NOT,OFF
 family friends tell bad shit bf gf go right back ,0.6252786390009674,NOT,OFF
christineblaseyford kavanaugh accuser liberals try every time confirmjudgekavanaugh,0.7629928669442242,NOT,NOT
fellow democrats want well best america purely politics dov hikind democratic ny assemblyman,0.7581772051064943,NOT,NOT
osho quotes via listen continuously giving hints still small voice shout true little silent start feeling way person never try,0.6530908583319648,NOT,NOT
yyc looking hockey players ages abilities humboldt tribute game sunday arrive pm dress participate opening ceremony contact lindsay clothier interested weplayforthem humboldtstrong hockeyisfamily gonucks,0.7805218361863289,NOT,NOT
conservatives brexit putting britain last sending chill spine uk,0.7988648044398873,NOT,NOT
gamers go follow twitter twitch playing blackops blackout please help support twitter twitch remember supportforsupport supportallstreamers,0.7621978681367736,NOT,NOT
quicktip find people already working company within industry interested know lot people send us resume info message us right ,0.7922666118565074,NOT,NOT
liberallogic liberals get way,0.6243169811321309,NOT,OFF
arianaasesina serious holy shit please fucking assholes blame someone death one sad enough today see fault none overdose died end stop wanting someone blame fuckers,0.5149722681225686,NOT,OFF
 hiding ugly personality worst,0.5616295893310319,NOT,OFF
bitch ,0.37611685352996693,OFF,NOT
georgetown classmate says left accuser absolutely nuts judge kavanaugh abc cbs democrats liberals women mondaymotivation mondaymorning veterans law maga gop cnn msnbc nbc moms blackwomen bet,0.6611733786438265,NOT,NOT
 referring lollygag gun control kids get slaughtered schools,0.70185007427694,NOT,OFF
im shocked learn human traffickers guns probably illegal ca needs gun control dont worry actual crime pic black guns worse,0.5936251825513403,NOT,NOT
weloveseungcheol happy proud work done train seventeen along members see wonderful incredible really love u,0.7145596587713983,NOT,NOT
chequers violation democracy standupbrexit people must respected,0.7914489722403423,NOT,NOT
sessions tells chicago want shootings death listen aclu antifa blacklivesmatter,0.555924997756627,NOT,OFF
conservatives clown,0.6549353474421458,NOT,OFF
voice head transfer money credit card bullshit bought pay ,0.6701487543938631,NOT,NOT
levi strauss never afraid take unpopular stand support greater good shut manufacturing america even news story happened maybe right unpopular,0.7032609076793193,NOT,NOT
 wedding clinton always know best,0.6341460777375703,NOT,OFF
kids beating paraplegic trump boy left teach children hate violence schools teachers democrats liberals walkaway moms mother nea teachthemyoung christian catholic jews evangelicals family blackwomen blacktwitter blacks news media disabled maga,0.6632226771506358,NOT,NOT
b j r b q b bx b rb z b q b h b h ut b,0.6277346679198488,NOT,NOT
askally say adore great person please take care always,0.7080477341260173,NOT,NOT
doj employee resisters r looking conservatives license plates home addresses legal details lexisnexis give dem socialists antifa project veritas worry govt history ever made political opponent lists oppressed ,0.7300892306141822,NOT,NOT
kelly mcparland latest floor crosser telling truths liberals dont like hearing,0.6557324365986518,NOT,NOT
greatawakening qanon patriotsunited wwgwga areyouawake awake see clearly check video,0.7988648044398873,NOT,NOT
boycottlevis since late levis used name resources attack gun rights company gave gun control group pax followed donation another ,0.7367544067284824,NOT,NOT
 fucking serious,0.46056773725179323,OFF,OFF
gets bitches,0.40606040022695744,OFF,NOT
 got pretty deep debate friend told latinos trump blacks trump paid supporters said mean antifa paid domestic terrorist said anti fascist said fascist kidding ,0.6799541445935879,NOT,OFF
antifa take note protest civility socialism aka communism never win inherently evil unsustainable,0.7198273825134263,NOT,NOT
gmm roastmycat hi fiona weeks old falls asleep weird places,0.7444285416511371,NOT,OFF
omg real happened peru like years ago inti devaluated fucking much comoletely change coin system money worthless ,0.5969486670961854,NOT,OFF
conservatism disagreements conservatives conservatives debate honestly integrity whatever gets thru today matters fundamentally dishonest people,0.6911294821597712,NOT,NOT
halloween sign reading creepingup behind wood wall decoration tmtinsta cwsigns via,0.7988648044398873,NOT,NOT
huniachiweek matter going today past days situation never permanent god going change life good trust believe able please read,0.7305739487310375,NOT,NOT
 point contention decided keep group top end talent also decided hire hot trash mike mccoy wilks even able get defense line correctly head,0.7506269525215937,NOT,NOT
 yet everyone seems lack ,0.6935949171200012,NOT,NOT
maga expect censorship,0.7988648044398873,NOT,OFF
 apparently committed going new level since used key well fuck curiosity killed cat hy,0.7167561091497212,NOT,NOT
ne need check dentist find perfect work record child care facility check online kinds licensed professionals free,0.6907973427678573,NOT,OFF
 arent many shootings virginia jacksonville shooter got guns maryland among poster children gun control good youre full crap,0.6631124015564538,NOT,NOT
amnesty international us violation international human rights law passing stronger gun control via,0.7580141639576796,NOT,NOT
well chuck schumer cousin niece something obviously part dnc conspiracy nixon part deep state zionist plot big comedy whatever hell today conspiracy theory ,0.7312153154378651,NOT,NOT
godspraiseroom god keeps even storms may rock boat let submit one really knows end beginning,0.7596661727322925,NOT,NOT
spaldo guy godson,0.5783065415802109,NOT,OFF
antifa bedfellows democratic socialists america dsa jamesokeefe exposed inserted throughout government attempting bring america trump maga deepstate,0.7929879183259423,NOT,NOT
cnn ruthlessly continues fakenews onslot honest analysis right tcot cnn nra massshooting cnnisfakenews conservatives fakenewsmedia fakenews pba fakenewscnn,0.6638944408461546,NOT,NOT
brexit barometer labour fails capitalise conservatives fail please kantar nearly two thirds uk believe government handling brexit negotations poorly,0.7988648044398873,NOT,OFF
antifa ts level influence scary,0.6746804231837304,NOT,OFF
 three accounts two quasi anonymous one completely anon twitter ever bans one quasi anon make two anon accounts tweet insane shit drown twitter bullshit one banned make even ,0.6652369157815126,NOT,NOT
maga alert joe biden trump supporters dregs society video via,0.6392121773571444,NOT,NOT
cerc boyd stock sole holder stock among hedge funds track,0.7988648044398873,NOT,NOT
city chicago democrat run strictest gun control nation point notthatbright,0.6292885836423037,NOT,OFF
liberals pathetic innocent proven guilty mean much democrats look party need rapist hang kavanaughisinnocent walkawayfromdemocrats liberallies straight pitts hell,0.6499664674007386,NOT,NOT
trump may many things entertaining thanks twitter,0.7809171663658778,NOT,OFF
million reallocated fema ice guy gives zero shits anyone named trump youre mid atlantic get ,0.66883237155808,NOT,OFF
fortnitebattleroyale xboxshare please ban cheating scum literally invisible,0.7269418560034635,NOT,NOT
 read man invented bulbs saw failure differently new wayz differently genius,0.7318636224237264,NOT,NOT
aunfettered repeal gun control laws government use people able well,0.7826843448991448,NOT,NOT
good thing responsible us marines im pretty sure group antifa members wouldnt running fast direction help anyone let alone elder seniors thank salute ,0.6665111624232449,NOT,NOT
fordtheatre right cue gofundme acct set person new liberals mode bribery payoffs really investigate gofundme new outlet slush funds comey mccabe strzok,0.7013910813318964,NOT,NOT
christian twitter facebook silence conservatives christians next censored darkness takes help us grow living faith aloud go one go prayer warriors please help us grow movement,0.7670478991686932,NOT,NOT
ixine aus den speakern fick deine political correctness,0.6832681943099002,NOT,NOT
fall fashion trending coats colors looking airdrie calgary lethbridge toronto vancouver princegeorge,0.7853042007082849,NOT,NOT
republicans put wallin budget going loose pres trump followers u r support ,0.6639592297240242,NOT,NOT
gmm roastmycat hi fiona weeks old falls asleep weird places,0.7444285416511371,NOT,OFF
sesamestreet bertandernie conversation unattractive creator says create character gay attacked,0.5139256990830534,NOT,OFF
serenawilliams full painful watch listen ,0.7164954465185495,NOT,OFF
colinkapernaeck done nothing sit ass complain time black people die hard white liberals think cause aka wake heck stfu colin civil rights hero martyr near ,0.5860433229941642,NOT,NOT
danganronpav claiming mastermind yet still dont believe dont think hes mastermind evidence suggests theres evidence suggests hes ,0.4659892590204274,OFF,NOT
monbebeselcaday beautiful,0.47581659159687506,OFF,NOT
lockhimupnow maga qanon best president ever,0.7831477517060854,NOT,NOT
goodbyenfl great players became marxists ill keep nixing sports league displays support bs oppression narrative goodbyenike,0.797289219956619,NOT,NOT
liberals left democrats resist resistance antifa bluewave bluewave walkaway maga,0.7262368679113275,NOT,NOT
emailmarketing sales teach create exclusive online traffic economy never short leads sales ,0.7267334591829957,NOT,OFF
jeff sessions listen aclu antifa black lives matter want chicago shootings,0.4909885093827866,OFF,OFF
amazon ship live christmas trees door stay put damn lights,0.7395210970370376,NOT,NOT
 sweet congratulations house broken get better,0.7529715652414211,NOT,OFF
 bet lot safer sex tho wouldnt one kids cant moms get dicked ,0.6642250756503206,NOT,NOT
 speaks nsfw,0.5089674424970299,NOT,NOT
jameycomey silent last weeks knows going indicted fbi doj strzok page textmessages qanon patriotsfight ty maga,0.7988648044398873,NOT,NOT
supernaturaltnt themanwhowouldbeking omg amazing crowley cas always great together miss ,0.7988648044398873,NOT,NOT
available adoption lincoln county nc roger sex male neutered age weeks old intake,0.7626127585562583,NOT,OFF
conservatives govt made life hell whistleblowers say threatened regulator thought govt promised protect whistleblowers,0.7620231648234554,NOT,NOT
apple live keynote appleevents,0.6575418395110892,NOT,NOT
zuckerberg lies,0.5288944025072988,NOT,NOT
lilduval know u aint going work tomorrow happyfriday smilebitch livingmybestlife hittemwithdashoulders,0.6064924417393931,NOT,NOT
antifahorst whuuuuut antifa maassen seehofer,0.5598242147269952,NOT,NOT
notetomystalker n empire trust penance life n career true nature leave stone unturned getting left nothing every one matter powerful ,0.679361190581944,NOT,NOT
freeleahshaibu negotiate release someone daughter,0.34519129903638845,OFF,NOT
serenawilliams serena caught cheating coach collaborative thinks thief mind real thief umpire spotted going called like couple bank robbers blaming guard calling police,0.6031629567196568,NOT,NOT
antifa retweet cant stop watching ,0.7148874691109177,NOT,NOT
notout thank following leicester voteforchange localelections votetory voteconservative cutcrime cutredtape cuttaxes cutgrass betterserviceslowertaxes,0.7988648044398873,NOT,NOT
thingsyoushouldneverassume someone says okay smile maybe wanna worry ,0.5341585143021649,NOT,NOT
repost get repost love fooled mistakes made dark images hold remember beauty feel,0.7223507832350204,NOT,NOT
nick gehlfuss stan watched friends going stop tvtime,0.5344938009293242,NOT,NOT
seo tips master fate online wise expect pity screw nobody else blame,0.5381512568194022,NOT,OFF
fortnitebattleroyale xboxshare please ban cheating scum literally invisible,0.7269418560034635,NOT,OFF
maga qanon greatawakening inners wwgwga nowcomesthepain walkaway goodbyedemocrats ellison accuser says sidelined party,0.784235616156736,NOT,NOT
truth show build personal online traffic economy never short supply qualified prospects sales ,0.746588076832867,NOT,NOT
gun control wondering control bodies got suicided need controlled gitmo pain coming maga qanon benghazi hope televise demise,0.7900218761119412,NOT,NOT
antifa new cause,0.7124357821069003,NOT,NOT
balkan conservatives unite family congress moldova,0.7988648044398873,NOT,OFF
boycottnfl dead ,0.5819934267451135,NOT,OFF
walkawayfromalldemocrats michelle years sure need bad advice new sheriff town maga get vote colors genders aka americans,0.7717028202443341,NOT,NOT
constitutionday enforce u immigration laws one set laws illegal aliens one set laws citizens trump maga rednationrising nodaca,0.7255190153330185,NOT,OFF
blaseyford comical liberals always want ways first women need treated equals comes ford testifying say unfair men asking questions dems women equal receive special treatment,0.6664065793857872,NOT,NOT
 gun control kills people need concealed carry,0.7227975818645428,NOT,OFF
ted always feel appropriate public behavior often unable control gopdysfunction,0.6064173111419467,NOT,NOT
followthewhiterabbit qanon greatawakening spygate walkaway qanon qarmy maga google maga poland fisadeclassification dearprofessorford dem us senator corey booker molesting year old surfaces,0.7988648044398873,NOT,OFF
stick comedy funny yo start political commentary pathetic,0.7536476302283337,NOT,OFF
holder needed impeached,0.6676185932285622,NOT,NOT
wearebroncos little guy loves broncos one biggest fan beon,0.7333052874787074,NOT,NOT
bbcnews cleverly cuts nhs james cleverly conservatives coalition health spending,0.7988648044398873,NOT,NOT
 cute hell love looks like antifa protestor really freezing cold hunter need dye hair omg loved redhead,0.6437803013297716,NOT,OFF
believeallwomen think things get dumber happens liberals probably realize children equality treat women men pretty sure better results culture,0.6391156581983134,NOT,NOT
today two important days life day born day find mark twain,0.7988648044398873,NOT,NOT
theladybam spoken simply best spreadmarylove onward,0.7255045375988051,NOT,NOT
media credentials poc problem please send dm like tweet,0.7988648044398873,NOT,NOT
alert win progressive conservatives ontario court appeal granted stay bill cut number toronto city councillors ,0.7951906766557083,NOT,OFF
sierraburgessisaloser phone dings,0.7988648044398873,NOT,OFF
metoo racist,0.3541704953507777,OFF,OFF
gop still acting like wimps havent yet realized liberals hate regardless sentiments either republicans stupid get way theyre tilted far left confirmkavanaughnow,0.6414607563060337,NOT,NOT
serenawilliams first mother women tour embarrassingly entitled bully yes kim clijsters winning major year baby,0.7422997104607874,NOT,OFF
thearchers want brilliant karate kick shit everyone,0.5869432386607929,NOT,NOT
fed agency hijaked info fed agency extremist group secretly funded antifa blm soros cia,0.7746736762151356,NOT,NOT
baldwinfundraises k street firm working pro bono gun control lobby law tammybaldwin fundraiser,0.717323898720327,NOT,NOT
aafiasiddiqui convicted terrorist widely hailed daughter pakistan,0.6340901869279383,NOT,OFF
dregsofsociety deplorables liberals usually dehumanize want exterminate later,0.5866127006182618,NOT,NOT
aldubloveandbeyond rise life friends know fall know friends ,0.5885724450797867,NOT,NOT
gemini woman cannot change scene liable change cast,0.7988648044398873,NOT,NOT
wce favorite girl hope day awesome ,0.7540524904211708,NOT,OFF
emmyawards ratings tank expected possibly stand watch many liberals one place one time,0.7845296175076496,NOT,NOT
cult like caps hmm else see cult like caps maga,0.6544545999265264,NOT,NOT
